date,profit,trade_count
2021-06-09,-144100.0,13
2021-06-10,67200.0,14
2021-06-11,-61700.0,13
2021-06-15,9500.0,15
2021-06-16,-74800.0,14
2021-06-17,15600.0,10
2021-06-18,-51600.0,14
2021-06-21,-62500.0,5
2021-06-22,16800.0,12
2021-06-23,-99900.0,9
2021-06-24,-11000.0,10
2021-06-25,-26000.0,10
2021-06-28,54200.0,12
2021-06-29,-36500.0,17
2021-06-30,900.0,11
2021-07-01,-36000.0,12
2021-07-02,-19300.0,9
2021-07-05,-17900.0,7
2021-07-06,-78500.0,13
2021-07-07,111500.0,13
2021-07-08,-21300.0,11
2021-07-09,-101600.0,10
2021-07-12,-58400.0,10
2021-07-13,148600.0,16
2021-07-14,-45600.0,10
2021-07-15,146200.0,10
2021-07-16,-41000.0,10
2021-07-19,-64600.0,6
2021-07-20,-60600.0,14
2021-07-21,26400.0,18
2021-07-22,-26100.0,9
2021-07-23,-22400.0,6
2021-07-26,14200.0,6
2021-07-27,40700.0,15
2021-07-28,100600.0,10
2021-07-29,258600.0,10
2021-07-30,-54900.0,13
2021-08-02,-27200.0,6
2021-08-03,-62600.0,8
2021-08-04,-37900.0,7
2021-08-05,-28900.0,11
2021-08-06,40800.0,8
2021-08-09,15900.0,11
2021-08-10,16500.0,11
2021-08-11,-22500.0,17
2021-08-12,-43900.0,7
2021-08-13,-85000.0,16
2021-08-16,-75600.0,12
2021-08-17,202300.0,11
2021-08-18,-14600.0,28
2021-08-19,-152200.0,16
2021-08-20,-49500.0,11
2021-08-23,174200.0,18
2021-08-24,-66800.0,12
2021-08-25,-43300.0,11
2021-08-26,-19400.0,10
2021-08-27,-5200.0,8
2021-08-30,-21400.0,4
2021-08-31,8300.0,13
2021-09-01,-19800.0,8
2021-09-02,34900.0,11
2021-09-03,29300.0,9
2021-09-06,12000.0,12
2021-09-07,-4800.0,8
2021-09-08,-400.0,10
2021-09-09,-9800.0,4
2021-09-10,85400.0,12
2021-09-13,-69400.0,8
2021-09-14,-21000.0,12
2021-09-15,63500.0,5
2021-09-16,-15900.0,7
2021-09-17,-110200.0,10
2021-09-23,2300.0,3
2021-09-24,-24100.0,11
2021-09-27,-27300.0,5
2021-09-28,-57900.0,7
2021-09-29,-95400.0,14
2021-09-30,26500.0,7
2021-10-01,85200.0,22
